City,Airport,Airport Code,Latitude,Longitude
Abbotsford,Abbotsford International Airport,YXX,49.0224599,-122.3807463
Aklavik,Aklavik Airport,LAK,68.223477,-135.006361
Akulivik,Akulivik Airport,AKV,60.817824,-78.148852
Alert,Alert Airport,YLT,82.516305,-62.308482
Alert Bay,Alert Bay Airport,YAL,50.58266,-126.916397
Alice Arm,Alice Arm Airport,ZAA,55.483333,-129.483333
Alma,Alma Airport,YTF,48.508626,-71.643174
Alta Lake,Alta Lake Airport,YAE,58.949936,-115.259963
Amos,Amos Airport,YEY,48.5643,-78.248015
Anahim Lake,Anahim Lake Airport,YAA,52.452325,-125.305134
Angling Lake,Angling Lake Airport,YAX,53.842056,-89.574457
Arctic Bay,Arctic Bay Airport,YAB,73.0050925,-85.0338354
Armstrong,Armstrong Airport,YYW,50.306934,-89.029462
Arnes,Arnes Airport,YNR,50.835538,-96.9562909
Arviat,Arviat Airport,YEK,61.0955506,-94.0715464
Asbestos Hill,Asbestos Hill Airport,YAF,45.766667,-71.95
Ashcroft,Ashcroft Airport,YZA,50.716667,-121.283333
Atikokan,Atikokan Airport,YIB,48.774664,-91.638223
Attawapiskat,Attawapiskat Airport,YAT,52.9275328,-82.4310207
Aupaluk,Aupaluk Airport,YPJ,59.2971,-69.5996
Bagotville,Bagotville Airport,YBG,48.3351696,-70.9856249
Baie Comeau,Baie Comeau Airport,YBC,49.184458,-68.362366
Baie Johan Beetz,Baie Johan Beetz Airport,YBJ,50.5,-62.916667
Baker Lake,Baker Lake Airport,YBK,64.311964,-96.0213969
Bamfield,Bamfield Airport,YBF,48.830567,-125.13226
Banff,Banff Airport,YBA,51.2073771,-115.5418434
Bathurst,Bathurst Airport,ZBF,47.629903,-65.735703
Bearskin Lake,Bearskin Lake Airport,XBE,53.966324,-91.025569
Beatton River,Beatton River Airport,YZC,56.166667,-120.416667
Beaver Creek,Beaver Creek Airport,YXQ,62.4073548,-140.862545
Bella Bella,Bella Bella Airport,ZEL,52.1811711,-128.1546318
Bella Coola,Bella Coola Airport,QBC,52.333332,-126.666664
Berens River,Berens River Airport,YBV,52.358977,-97.016935
Big Bay Marina,Big Bay Marina Airport,YIG,50.383333,-125.133333
Big Bay Yacht Club,Big Bay Yacht Club Airport,YYA,50.4,-123.133333
Big Trout,Big Trout Airport,YTL,53.817378,-89.896368
Black Tickle,Black Tickle Airport,YBI,53.4692426,-55.7853132
Blanc Sablon,Blanc Sablon Airport,YBX,51.442107,-57.186372
Bloodvein,Bloodvein Airport,YDV,51.75,-96.733333
Blubber Bay,Blubber Bay Airport,XBB,49.8,-124.633333
Bobquinn Lake,Bob Quinn Lake Airport,YBO,56.966667,-130.25
Bonaventure,Bonaventure Airport,YVB,48.0679566,-65.4572725
Bonnyville,Bonnyville Airport,YBY,54.266666,-110.73333
Borden,Borden Airport,YBN,44.271762,-79.911905
Brandon,Brandon Airport,YBR,49.9044319,-99.945333
Broadview,Broadview Airport,YDR,50.333333,-102.5
Brochet,Brochet Airport,YBT,57.8903419,-101.6779728
Brockville,Brockville Airport,XBR,44.6049291,-75.6801066
Bromont,Bromont Airport,ZBM,45.2959178,-72.732369
Bronson Creek,Bronson Creek Airport,YBM,56.681095,-131.093938
Buchans,Buchans Airport,YZM,48.849684,-56.841778
Buffalo Narrows,Buffalo Narrows Airport,YVT,55.859829,-108.473631
Bull Harbour,Bull Harbour Airport,YBH,50.9,-127.916667
Burns Lake,Burns Lake Airport,YPZ,54.3814571,-125.957222
Calgary,Calgary International Airport,YYC,51.131471,-114.010556
Cambridge Bay,Cambridge Bay Airport,YCB,69.108056,-105.138333
Campbell River,Campbell River Airport,YBL,49.9515893,-125.2683545
Cape Dorset,Cape Dorset Airport,YTE,64.230214,-76.524706
Cape St James,Cape St James Airport,YCJ,51.940806,-131.018385
Caribou Island,Caribou Island Airport,YCI,47.363666,-85.809196
Cartierville,Cartierville Airport,YCV,45.510601,-73.714699
Cartwright,Cartwright Airport,YRF,53.683889,-57.04
Castlegar,Castlegar Airport,YCG,49.3006049,-117.6365328
Cat Lake,Cat Lake Airport,YAC,51.7317,-91.8261
Centralia,Centralia Airport,YCE,43.283453,-81.503246
Chapleau,Chapleau Airport,YLD,47.819759,-83.353119
Charlo,Charlo Airport,YCL,47.9875454,-66.3314352
Charlottetown,Charlottetown Airport,YHG,46.2852208,-63.1299666
Chatham,Chatham Airport,XCM,42.306667,-82.080559
Chesterfield Inlet,Chesterfield Inlet Airport,YCS,63.3459424,-90.7335479
Chetwynd,Chetwynd Airport,YCQ,55.687154,-121.626726
Chevery,Chevery Airport,YHR,50.4818039,-59.600527
Chibougamau,Chibougamau Airport,YMT,49.904856,-74.385537
Chilko Lake,Chilko Lake Airport,CJH,51.626383,-124.144431
Chilliwack,Chilliwack Municipal Airport,YCW,49.153619,-121.938711
Chisasibi,Chisasibi Airport,YKU,53.805115,-78.916226
